Programação,DUV,Berço,Embarcação,IMO,LOA,DWT,Sentido,Agência,Operador,Mercadoria,ETA,Janela Operacional,Prancha (t/dia),Previsto,Cal. Cheg.,Cal. Saída,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1
75340,33022025.0,143,AVAX,9953420,18306,"50.113,00",Exp,BPA,CATTALINI,OLEO DE SOJA,24/01/2025 12:00,,,"13.000,000 Tons.",900,1000,,,,
75259,21952024.0,206,AFRICAN OSPREY,9612143,18000,"34.697,00",Imp,WILSON SONS,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,CEVADA CERVEJEIRA,24/01/2025 08:30,,,"30.000,000 Tons.",1011,850,,,,
75382,23532025.0,216,MSC SARA ELENA,9702261,29995,"127.447,00",Imp/Exp,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,TCP (WME),CONTÊINERES (CONTENTORES) INCL,24/01/2025 08:00,,,1.400 Movs.,980,1000,,,,
75350,590722024.0,218,SAN RAPHAEL MAERSK,9622253,33320,"124.458,00",Imp/Exp,LACHMANN,TCP (SCN),CONTÊINERES (CONTENTORES) INCL,24/01/2025 07:00,,,800 Movs.,1000,900,,,,
73600,21522025.0,205,MSC ARMONIA,9210141,27490,"8.707,00",Imp/Exp,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,PASSAGEIROS,24/01/2025 06:00,,,"0,000 Tons.",680,680,,,,
75353,,204,LEONARDO,9894777,19998,"63.676,00",Exp,CARGONAVE,CEU AZUL,AÇÚCAR,23/01/2025 20:00,,,"50.000,000 Tons.",700,1310,,,,
75088,558672024.0,215,NC BRUMA,9612777,22391,"48.038,00",Imp/Exp,ROCHAMAR,TCP (NCO),CONTÊINERES (CONTENTORES) INCL,23/01/2025 19:00,,,1.050 Movs.,1200,1000,,,,
75326,25352025.0,213,IOLCOS AMBITION,9530632,22900,"87.376,00",Exp,CARGONAVE,CARGONAVE,MILHO,23/01/2025 19:00,,,"71.500,000 Tons.",700,1310,,,,
75339,29222025.0,200,PORT NAGASAKI,9965851,19995,"64.611,00",Imp,AMART,FOSPAR,CLORETOS DE POTASSIO,23/01/2025 16:00,,,"58.606,000 Tons.",1300,520,,,,
75319,16522025.0,200,ROSANNA,9968358,22899,"82.510,00",Imp,FORTENAVE,FOSPAR,SULFATO DE AMONIO,23/01/2025 15:00,,,"68.000,000 Tons.",1300,730,,,,
75291,23322025.0,212,CARAVOS TRIUMPH,9584310,22900,"81.664,50",Exp,WILSON SONS,TIBAGI,FARELO DE SOJA,23/01/2025 15:00,,,"62.000,000 Tons.",740,1250,,,,
75327,32962025.0,204,DEJIMA,9860594,19998,"63.533,00",Exp,WILLIAMS,CEU AZUL,AÇÚCAR,23/01/2025 13:00,,,"57.750,000 Tons.",600,1300,,,,
75315,,213,STAR NINA,9354832,22899,"82.224,00",Exp,ALPHAMAR,ALPHAMAR PORT SERVICES,MILHO,23/01/2025 09:00,,,"70.200,000 Tons.",600,1310,,,,
75401,,201,IONIC KIZUNA,9582532,22900,"81.868,00",Exp,FERTIMPORT,TIBAGI,SOJA,23/01/2025 07:00,,,"66.000,000 Tons.",720,1310,,,,
75332,,204,GOLDEN SAKURA,9979216,19998,"63.425,00",Exp,CARGONAVE,CEU AZUL,AÇÚCAR,22/01/2025 19:00,,,"50.000,000 Tons.",700,1310,,,,
75375,,213,LYRIC SUN,9586629,22900,"81.276,00",Exp,WILSON SONS,TIBAGI,SOJA,22/01/2025 15:30,,,"68.638,000 Tons.",790,1280,,,,
75089,558762024.0,215,NC BRISA,9612789,22396,"48.039,00",Imp/Exp,ROCHAMAR,TCP (NCO),CONTÊINERES (CONTENTORES) INCL,16/01/2025 19:00,,,1.050 Movs.,1200,1000,,,,
