Chegada,Sentido,local,Mercadoria,Peso
21/02/2025 08:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
22/02/2025 02:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
22/02/2025 03:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
23/02/2025 02:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
23/02/2025 14:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
23/02/2025 18:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
25/02/2025 08:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
27/02/2025 20:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
01/03/2025 01:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800.0
20/01/2025 14:00:00,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600.0
22/01/2025,Imp/Exp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200.0
26/01/2025 01:00:00,Imp,santos,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600.0
28/01/2025,Imp,santos,VEICULO,9800.0
28/01/2025 06:00:00,Imp,santos,VEICULO,9800.0
30/01/2025 01:00:00,Imp/Exp,santos,VEICULOS/VRS/CCS.RO-RO VEICULOS/VRS/CCS.RO-RO,2500.0
02/02/2025 06:00:00,Imp,santos,VEICULO,9800.0
03/02/2025 01:00:00,Imp/Exp,santos,VEICULOS/VRS/CCS.RO-RO VEICULOS/VRS/CCS.RO-RO,2500.0
06/02/2025 07:00:00,Imp/Exp,santos,VEICULOS/VRS/CCS.RO-RO VEICULOS/VRS/CCS.RO-RO,1402.5
07/02/2025 06:00:00,Imp,santos,VEICULO,9800.0
,Imp,paranagua,METANOL,36.104
,Imp,paranagua,SODA CÁUSTICA,10.001
18/01/2025 04:30,Exp,paranagua,AÇÚCAR,60.1
16/01/2025 17:54,Exp,paranagua,FARELO DE SOJA,62.0
11/01/2025 00:15,Exp,paranagua,SOJA,52.25
07/01/2025 01:18,Imp,paranagua,CEVADA CERVEJEIRA,21.549
04/01/2025 11:06,Imp,paranagua,NITRATO DE AMONIO,12.857
01/01/2025 08:48,Exp,paranagua,FARELO DE SOJA,63.405
31/12/2024 07:36,Exp,paranagua,OUTS.ACUCARES,25.082
19/12/2024 12:30,Imp,paranagua,SULFATO DE AMONIO,56.406
19/12/2024 12:30,Imp,paranagua,SULFATO DE AMONIO,3.57
19/12/2024 15:00,Imp,paranagua,CLORETO DE POTASSIO,13.2
19/12/2024 15:00,Imp,paranagua,CLORETO DE POTASSIO,13.464
17/12/2024 12:56,Imp,paranagua,MAP,32.93
13/12/2024 23:30,Imp,paranagua,SULFATO DE AMONIO,4.0
13/12/2024 23:30,Imp,paranagua,SULFATO DE AMONIO,61.76
26/11/2024 12:30,Imp,paranagua,SULFATO DE AMONIO,67.9
19/12/2024 12:30,Exp,paranagua,SOJA,68.0
21/01/2025 16:24,Exp,paranagua,FARELO DE SOJA,63.372
21/01/2025 09:43,Exp,paranagua,SOJA,66.0
22/01/2025 11:24,Exp,paranagua,SOJA,65.0
19/01/2025 17:42,Exp,paranagua,SOJA,52.5
19/01/2025 17:42,Exp,paranagua,SOJA,17.5
19/01/2025 06:00,Imp,paranagua,MAP,33.0
03/12/2024 04:30,Exp,paranagua,SOJA,69.2
18/01/2025 09:00,Imp,paranagua,MAP,39.542
16/01/2025 14:42,Imp,paranagua,OLEO DIESEL,32.899
14/01/2025 16:00,Imp,paranagua,SULFATO DE AMONIO,67.55
14/01/2025 04:54,Imp,paranagua,DAP - Fosfato Diamonico,24.953
14/01/2025 04:54,Imp,paranagua,FERTILIZ.MINER.QUIM.C/NITROGEN,24.953
13/01/2025 09:23,Exp,paranagua,SOJA,66.0
12/01/2025 03:00,Exp,paranagua,MILHO,68.1
11/01/2025 22:12,Imp,paranagua,"SUPERFOSFATO, MINERAIS OU QUIM",37.4
11/01/2025 22:12,Imp,paranagua,MAP,37.4
11/01/2025 13:12,Imp,paranagua,CLORETOS DE POTASSIO,13.62
11/01/2025 13:12,Imp,paranagua,CLORETOS DE POTASSIO,24.24
10/01/2025 16:24,Exp,paranagua,FARELO DE SOJA,52.5
02/01/2025 17:30,Imp,paranagua,SULFATO DE AMONIO,58.671
31/12/2024 23:00,Imp,paranagua,SULFATO DE AMONIO,69.4
28/12/2024 01:42,Imp,paranagua,SULFATO DE AMONIO,67.75
27/12/2024 16:00,Imp,paranagua,CLORETOS DE POTASSIO,15.9
27/12/2024 16:00,Imp,paranagua,CLORETOS DE POTASSIO,17.609
25/12/2024 18:48,Imp,paranagua,UREIA,30.0
25/12/2024 18:48,Imp,paranagua,UREIA,19.5
23/12/2024 11:30,Imp,paranagua,UREIA,29.154
21/12/2024 23:59,Imp,paranagua,CLORETOS DE POTASSIO,23.681
21/12/2024 23:59,Imp,paranagua,CLORETOS DE POTASSIO,21.0
21/12/2024 21:12,Imp,paranagua,CLORETOS DE POTASSIO,36.8
21/12/2024 21:12,Imp,paranagua,UREIA,36.8
21/12/2024 04:30,Imp,paranagua,SULFATO DE AMONIO,15.0
21/12/2024 04:30,Imp,paranagua,SULFATO DE AMONIO,53.223
20/12/2024 16:48,Imp,paranagua,SULFATO DE AMONIO,7.35
20/12/2024 16:48,Imp,paranagua,SULFATO DE AMONIO,60.55
20/01/2025 00:01,Exp,paranagua,MILHO,69.735
19/01/2025 19:40,Imp,paranagua,SAL MARINHO,14.2
11/01/2025 18:00,Exp,paranagua,FARELO DE SOJA,28.446
03/01/2025 01:20,Exp,paranagua,OUTS.ACUCARES,27.585
20/12/2024 09:00,Imp,paranagua,DAP - Fosfato Diamonico,16.0
20/12/2024 09:00,Imp,paranagua,MAP,16.0
19/12/2024 19:00,Imp,paranagua,ADUBOS OU FERTILIZANTES C/NITR,35.2
19/12/2024 19:00,Imp,paranagua,UREIA,35.2
30/11/2024 03:18,Imp,paranagua,FERTILIZ.MINER.QUIM.C/NITROGEN,57.9
30/11/2024 03:18,Imp,paranagua,SULFATO DE AMONIO,57.9
19/01/2025 12:12,Exp,paranagua,PASTA QUIM.MADEIRA DE N/CONIF.,14.0
19/01/2025 06:00,Exp,paranagua,OLEO DE MILHO,9.0
18/01/2025 09:48,Exp,paranagua,OLEO DE SOJA,10.0
20/01/2025 00:12,Imp/Exp,paranagua,CONTÊINERES (CONTENTORES) INCL,3.402
11/01/2025 16:48,Exp,paranagua,MILHO,66.0
10/01/2025 00:00,Exp,paranagua,FARELO DE SOJA,64.8
04/01/2025 00:24,Imp,paranagua,OUT.TRIGOS E MISTURAS DE TRIGO,33.0
19/12/2024 17:28,Exp,paranagua,SOJA,66.5
03/12/2024 04:30,Imp,paranagua,SULFATO DE AMONIO,63.648
03/12/2024 04:30,Imp,paranagua,SULFATO DE AMONIO,4.8
,Imp,paranagua,PASSAGEIROS,0.0
,Exp,paranagua,PASSAGEIROS,0.0
,Imp/Exp,paranagua,PASSAGEIROS,0.0
,Imp/Exp,paranagua,PASSAGEIROS,0.0
,Imp,paranagua,FOSFATO MONO OU DISSODICO,33.0
,Imp,paranagua,FERTILIZ.MINER.QUIM.C/NITROGEN,9.9
,Imp,paranagua,OUTROS OLEOS DE DENDE,13.0
,Imp/Exp,paranagua,PASSAGEIROS,0.0
,Imp,paranagua,UREIA,27.5
,Exp,paranagua,PASTA QUIM.MADEIRA DE N/CONIF.,5.0
,Exp,paranagua,PASTA QUIM.MADEIRA DE N/CONIF.,22.5
,Exp,paranagua,OLEO DE SOJA,10.0
,Exp,paranagua,FARELO DE SOJA,57.8
,Exp,paranagua,MILHO,60.0
,Imp,paranagua,CEVADA CERVEJEIRA,44.0
,Imp,paranagua,UREIA,25.0
,Exp,paranagua,SOJA,66.0
,Exp,paranagua,MILHO,65.0
,Exp,paranagua,SOJA,58.6
,Exp,paranagua,SOJA,66.8
,Exp,paranagua,OLEO DE SOJA,7.0
,Exp,paranagua,SOJA,69.7
,Exp,paranagua,FARELO DE SOJA,65.0
,Imp,paranagua,METANOL,10.0
,Exp,paranagua,SOJA,66.0
,Imp,paranagua,ALIMET,2.001
,Imp,paranagua,METANOL,35.2
,Exp,paranagua,SOJA,65.0
,Imp,paranagua,ALIMET,2.0
,Exp,paranagua,SOJA,60.0
,Imp,paranagua,CEVADA CERVEJEIRA,28.4
,Imp,paranagua,METANOL,11.5
,Imp/Exp,paranagua,PASSAGEIROS,0.0
,Exp,paranagua,AÇÚCAR,53.0
,Imp,paranagua,CLORETOS DE POTASSIO,57.478
,Exp,paranagua,"BIODIESEL E SUAS MISTURAS,C/ M",5.0
,Imp,paranagua,MAP,12.55
,Imp,paranagua,CLORETOS DE POTASSIO,12.55
,Imp,paranagua,CLORETOS DE POTASSIO,3.7
,Exp,paranagua,FUEL-OIL (OLEO COMBUSTIVEL),20.0
,Exp,paranagua,OLEO DE SOJA,18.5
,Exp,paranagua,SOJA,66.0
,Imp,paranagua,GASOLINAS,25.0
,Exp,paranagua,SOJA,50.0
,Exp,paranagua,SOJA,63.0
,Imp,paranagua,SULFATO DE AMONIO,68.0
,Imp,paranagua,OUTROS OLEOS DE PALMISTE,6.0
,Exp,paranagua,SOJA,60.0
,Exp,paranagua,SOJA,68.85
,Exp,paranagua,MILHO,60.0
